id,title,link,Oferit de,Categorie,Marca,Model,Versiune,Anul fabricatiei,Kilometraj,Capacitate cilindrica,VIN,Combustibil,Putere,Cutie de viteze,Transmisie,Norma de poluare,Filtru de particule,Caroserie,Culoare,Primul proprietar,Fara accident in istoric,Carte de service,Stare
7042759128,Mercedes-Benz C C200,https://www.autovit.ro/anunt/mercedes-benz-c-c200-ID7GCHna.html#7ce9f71ee3,Firma,Autoturisme,Mercedes-Benz,C,C200,2010,180 837 km,2 148 cm3,WDD2042011F579947,Diesel,136 CP,Manuala,Spate,Euro 5,Da,Sedan,Argint,Da,Da,Da,Second hand
7041864492,BMW Seria 5 525,https://www.autovit.ro/anunt/bmw-seria-5-525-ID7GyVDy.html#7ce9f71ee3,Proprietar,Autoturisme,BMW,Seria 5,525,2006,217 000 km,2 497 cm3,NODATA,Benzina,218 CP,Manuala,Spate,Euro 4,NODATA,Sedan,Negru,NODATA,Da,Da,Second hand
7042730572,Volkswagen Passat,https://www.autovit.ro/anunt/volkswagen-passat-ID7GCzVA.html#7ce9f71ee3,Proprietar,Autoturisme,Volkswagen,Passat,NODATA,2016,166 127 km,1 968 cm3,WVWZZZ3CZGP018233,Diesel,150 CP,Manuala,4x4 (automat),Euro 6,Da,Combi,Alb,Da,Da,Da,Second hand
7042728606,Volkswagen Golf,https://www.autovit.ro/anunt/volkswagen-golf-ID7GCzqS.html#7ce9f71ee3,Firma,Autoturisme,Volkswagen,Golf,NODATA,2012,192 000 km,NODATA,NODATA,Benzina,NODATA,NODATA,NODATA,Euro 5,NODATA,Masina de oras,Negru,NODATA,Da,Da,Second hand
7042842101,Volvo XC 60,https://www.autovit.ro/anunt/volvo-xc-60-ID7GD2Xr.html#7ce9f71ee3,Proprietar,Autoturisme,Volvo,XC 60,NODATA,2016,137 000 km,2 400 cm3,NODATA,Diesel,220 CP,Automata,4x4 (automat),Euro 6,NODATA,SUV,Alb,Da,Da,Da,Second hand
7042842200,Volvo V40,https://www.autovit.ro/anunt/volvo-v40-ID7GD2Z2.html#7ce9f71ee3,Firma,Autoturisme,Volvo,V40,NODATA,2015,108 000 km,1 998 cm3,NODATA,Diesel,163 CP,Automata,Fata,Euro 5,Da,Combi,Negru,Da,Da,Da,Second hand
7042842198,Volkswagen Passat,https://www.autovit.ro/anunt/volkswagen-passat-ID7GD2Z0.html#7ce9f71ee3,Firma,Autoturisme,Volkswagen,Passat,NODATA,2015,91 600 km,1 968 cm3,WVWZZZ3CZGE071425,Diesel,240 CP,Automata,4x4 (automat),Euro 6,NODATA,Sedan,Albastru,Da,Da,Da,Second hand
7042761314,BMW X1,https://www.autovit.ro/anunt/bmw-x1-ID7GCHVq.html#7ce9f71ee3,Firma,Autoturisme,BMW,X1,NODATA,2016,107 300 km,1 995 cm3,WBAHT91070P914022,Diesel,150 CP,Manuala,4x4 (automat),Euro 6,NODATA,SUV,Negru,NODATA,Da,Da,Second hand
7041858511,Mercedes-Benz GLK GLK250,https://www.autovit.ro/anunt/mercedes-benz-glk-glk250-ID7GyW55.html#7ce9f71ee3,Proprietar,Autoturisme,Mercedes-Benz,GLK,GLK250,2013,204 000 km,2 143 cm3,NODATA,Diesel,204 CP,Automata,4x4 (automat),Euro 5,NODATA,SUV,Negru,Da,Da,NODATA,Second hand
7042533340,Audi A6 C6,https://www.autovit.ro/anunt/audi-a6-c6-ID7GBKDq.html#7ce9f71ee3,Proprietar,Autoturisme,Audi,A6,C6,2010,223 000 km,2 698 cm3,NODATA,Diesel,239 CP,Automata,4x4 (automat),Euro 5,Da,Sedan,Negru,NODATA,Da,Da,Second hand
